Object ID,Track name,Description,Difficulty,Completion time,Has alerts,URL to thumbnail,URL to webpage,Date loaded to GIS,Shape__Length
705130,A Frame Hut & Takapari Road Track,Head to Tamaki Road end by following the track up through forest to Takapari Road. From there you’ll follow a bulldozed road 100 m to the hut. ,Advanced,2 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3f3bdf0e8d294351a2f5ea2f46833cdd.aspx,https://www.doc.govt.nz/link/0c3b4ce64c56412c9bb887a78524c45b.aspx,7/29/2025 8:32:09 AM,2701.1634834259
705131,Ahuriri Valley Track,This track follows the Ahuriri River. Three huts on route provide several options.,Advanced,6 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/981e1fce972c45e0973eb1832ba8ff49.jpg,https://www.doc.govt.nz/link/12da3f7d7ce2433f86595d7cd0d74d9a.aspx,7/29/2025 8:32:14 AM,16481.6046652068
705132,Akeake Historic Reserve Track,"The track starts from Opito Bay and splits into a series of short, easy walks - visit a small beach in the Te Puna Inlet and a pa site on Tareha Point.",Easy,15-30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/8fcb37b5b6ae4360b41be229babbe10a.aspx,https://www.doc.govt.nz/link/b213ff1ca69446c69727789520c97359.aspx,7/29/2025 8:32:14 AM,1306.95137806822
705133,Alice Nash Memorial Heritage Lodge Track,This track in the scenic Oroua River valley can be enjoyed as a half day tramp but it's also a good overnight tramp for families with children and new trampers.,Easy,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5746a0cfe87b41dfaff1047f747274f3.jpg,https://www.doc.govt.nz/link/5ce9a74e818c41ec87be899406b83e1f.aspx,7/29/2025 8:32:14 AM,2453.28292028561
705134,Allans Beach Track,Walk 5 minutes from the carpark to Allans Beach and see sea lions.,Easiest,5 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a11ec165841743c7b17db5970d63d97c.jpg,https://www.doc.govt.nz/link/033e0138cc88492eaf0263b8e9f58d4a.aspx,7/29/2025 8:32:14 AM,253.340025591878
705135,Alpine Nature Walk,The Alpine Nature Walk in Lewis Pass provides an opportunity to break up a long drive while enjoying spectacular scenery and beech forest.,Easiest,20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c0534d74431e4e76923b22e2dfa768e3.aspx,https://www.doc.govt.nz/link/adf7cf3e41c141ad85085286db4889be.aspx,7/29/2025 8:32:15 AM,704.500823365789
705136,Alpine Route,This challenging trip above the bushline in Mt Richmond Forest Park offers outstanding views over the Waimea Plains and the Inland Kaikoura Ranges. This track is part of Te Araroa Trail.,"Advanced, Expert",,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4c527da998b54e78a1da2cbd92e4feae.jpg,https://www.doc.govt.nz/link/1aafceec82074d4b967d97c3eacde6da.aspx,7/29/2025 8:32:15 AM,62190.080242543
705137,Anatoki and Historic Kill Devil Pack Tracks,"Explore beautiful beech forest, dramatic gorge scenery and rock debris dam at Lake Stanley. Trampers can also enjoy a historic hut experience in restored character huts from 1930s gold mining days.",Advanced,3-5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/2f4acc7f5fb14e21b0509a5d79b70351.jpg,https://www.doc.govt.nz/link/9cb9df11d6c24a9ebe2e479268f0b7d9.aspx,7/29/2025 8:32:15 AM,50620.7942774464
705138,Anaura Bay Walkway,"This track passes through coastal forest, pine-clad valleys and dense native bush - with a fairly easy grade it's suitable for children, although some climbing is required and there are a few steep places.",Easy,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7a68167b29be4a7b95ba649b00b11317.aspx,https://www.doc.govt.nz/link/77f5f6d4271945c4a52bd9460f2e8b89.aspx,7/29/2025 8:32:15 AM,4049.05718480739
705139,Angelus Hut tracks and routes,"Angelus Hut at 1,650 metres, sits on the shores of Lake Angelus surrounded by spectacular mountain views. From May to October in most years, the lake is frozen, snow blankets all four routes, and you may have to dig your way to the hut.","Advanced, Expert",2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/75536a859c954a20b9874dd0ed9449ac.aspx,https://www.doc.govt.nz/link/c4ded3de49954d288096704c5a7643d1.aspx,7/29/2025 8:32:15 AM,38439.3723589969
